,AMT_GOODS_PRICE,FLAG_EMP_PHONE,REGION_RATING_CLIENT_W_CITY,YEARS_BUILD_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_60_CNT_SOCIAL_CIRCLE
OBS_60_CNT_SOCIAL_CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_60_CNT_SOCIAL_CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYS_LAST_PHONE_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_DOCUMENT_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_HOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_MON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_QRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT_REQ_CREDIT_BUREAU_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
